Laureate ID,Laureate name,Prize year,Title,Pub year,Paper ID,DOI,Journal,Affiliation,Is prize-winning paper,field,p-value,Gender,citation_count
10057,"perl, ml",1995,erratum branching fraction measurements of the color suppressed decaysb 0tod 00 d 0 d 0 andd 0 and measurement of the polarization in the decayb 0 d 0 phys rev d84 112007 2011,2013.0,2614522504.0,10.1103/PhysRevD.87.039901,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,9.0
10057,"perl, ml",1995,study ofb x 3872 k withx 3872 j  ,2008.0,2315762992.0,10.1103/PhysRevD.77.111101,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,90.0
10057,"perl, ml",1995,large angle pi sup p elastic scattering at 3 63 gev c,1965.0,2315767720.0,10.1103/PhysRev.138.B707,physical review,ben gurion university of the negev,NO,Physics,0.054140127388535,male,26.0
10057,"perl, ml",1995,observation ofcpviolation inb0 k  andb0  ,2007.0,2315802640.0,10.1103/PhysRevLett.99.021603,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,58.0
10057,"perl, ml",1995,structural three dimensional constitutive law for the passive myocardium,1988.0,1983859428.0,10.1115/1.3108431,journal of biomechanical engineering transactions of the asme,ben gurion university of the negev,NO,Physics,0.054140127388535,male,79.0
10057,"perl, ml",1995,radial cracking of a thick walled cylinder due to an internal thermal shock,1992.0,1983877668.0,10.1016/0013-7944(92)90304-W,engineering fracture mechanics,ben gurion university of the negev,NO,Physics,0.054140127388535,male,11.0
10057,"perl, ml",1995,measurement of the branching fractions for inclusiveb andb 0decays to flavor taggedd ds andc,2004.0,2315832681.0,10.1103/PhysRevD.70.091106,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,9.0
10057,"perl, ml",1995,exclusive measurements of b s transition rate and photon energy spectrum,2012.0,2107460529.0,10.1103/PhysRevD.86.052012,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,48.0
10057,"perl, ml",1995,improved limits on lepton flavor violatingdecays tol l lk andlk,2009.0,2477232927.0,10.1103/PhysRevLett.103.021801,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,10.0
10057,"perl, ml",1995,measurements ofcp violating asymmetries and branching fractions inbdecays tokand,2006.0,2768554937.0,10.1103/PhysRevD.74.011106,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,11.0
10057,"perl, ml",1995,three dimensional interaction effects in an internally multicracked pressurized thick walled cylinder part i radial crack arrays,1996.0,1984115353.0,10.1115/1.2842200,journal of pressure vessel technology transactions of the asme,ben gurion university of the negev,NO,Physics,0.054140127388535,male,13.0
10057,"perl, ml",1995,measurement of time dependent cp asymmetries and the cp odd fraction in the decay b0 d d,2007.0,1984144113.0,10.1103/PhysRevD.76.111102,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,7.0
10057,"perl, ml",1995,measurement of the b xs branching fraction and photon energy spectrum using the recoil method,2008.0,2107664941.0,10.1103/PhysRevD.77.051103,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,61.0
10057,"perl, ml",1995,observation of two narrow states decaying into  c and 0c,1999.0,1620338403.0,10.1103/PhysRevLett.82.492,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,48.0
10057,"perl, ml",1995,measurement of the absolute branching fraction ofd0 k ,2008.0,2315942275.0,10.1103/PhysRevLett.100.051802,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,9.0
10057,"perl, ml",1995,observation of 3 events in e e annihilation,1978.0,2625374842.0,10.1103/PhysRevLett.40.1120,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,42.0
10057,"perl, ml",1995,determination of the branching fraction for b xcl decays and of vcb from hadronic mass and lepton energy moments,2004.0,1984707202.0,10.1103/PhysRevLett.93.011803,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,57.0
10057,"perl, ml",1995,b meson decays to  k    0 0 and 0,2004.0,2107931793.0,10.1103/PhysRevD.70.032006,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,56.0
10057,"perl, ml",1995,b meson decays to charmless meson pairs containing eta or eta mesons,2009.0,2108072374.0,10.1103/PhysRevD.80.112002,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,16.0
10057,"perl, ml",1995,erratum experimental tests of lepton universality in  decay phys rev d 55 2559 1997,1998.0,1985220706.0,10.1103/PhysRevD.58.119903,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,2.0
10057,"perl, ml",1995,observation of a newdsmeson decaying todkat a mass of2 86gev c2,2006.0,2316073892.0,10.1103/PhysRevLett.97.222001,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,122.0
10057,"perl, ml",1995,measurement of the and  transition form factors,2011.0,2316080186.0,10.1103/PhysRevD.84.052001,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,94.0
10057,"perl, ml",1995,erratum measurement of branching fractions and mass spectra of b k physical review letters 2007 98 211804,2008.0,2200837125.0,10.1103/PhysRevLett.100.189903,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,3.0
10057,"perl, ml",1995,measurement of the b p p over bark branching fraction and study of the decay dynamics,2005.0,1986339394.0,10.1103/PhysRevD.72.051101,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,73.0
10057,"perl, ml",1995,mechanical model for the simulation of ischaemia and infarction of the left ventricle,1987.0,1986340224.0,10.1007/BF02447425,medical & biological engineering & computing,ben gurion university of the negev,NO,Physics,0.054140127388535,male,4.0
10057,"perl, ml",1995,lambda c production and semileptonic decay in 29 gev e e annihilation,1989.0,1986364755.0,10.1103/PhysRevLett.62.2444,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,8.0
10057,"perl, ml",1995,measurements of the branching fraction and cp violation asymmetries in b0 f0 980 ks0,2005.0,2108964274.0,10.1103/PhysRevLett.94.041802,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,20.0
10057,"perl, ml",1995,comparison of muon proton and electron proton inelastic scattering,1972.0,1987080177.0,10.1103/PhysRevD.6.106,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,15.0
10057,"perl, ml",1995,analysis ofd0 kk xdecays,1996.0,2612346854.0,10.1103/PhysRevD.54.4211,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,8.0
10057,"perl, ml",1995,further search for the two photon production of the glueball candidate fj 2220,1998.0,2109583537.0,10.1103/PhysRevLett.81.3328,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,13.0
10057,"perl, ml",1995,measurement of the branching fraction for ds ,1996.0,1987584780.0,10.1016/0370-2693(96)00503-5,physics letters b,ben gurion university of the negev,NO,Physics,0.054140127388535,male,6.0
10057,"perl, ml",1995,observation of b k and search for related b decays modes,1998.0,2109718356.0,10.1103/PhysRevLett.81.272,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,46.0
10057,"perl, ml",1995,measurements ofc branching fractions of cabibbo suppressed decay modes involvingand0,2007.0,2608003357.0,10.1103/PhysRevD.75.052002,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,12.0
10057,"perl, ml",1995,search forb c xl  ldecays in events with a fully reconstructedbmeson,2012.0,2316572346.0,10.1103/PhysRevD.85.011102,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,1.0
10057,"perl, ml",1995,erratum the e e 2   0 2    k k   0 and k k    cross sections measured with initial state radiation physical review d particles fields gravitation and cosmology 2007 76 092005,2008.0,2549765527.0,10.1103/PhysRevD.77.119902,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,43.0
10057,"perl, ml",1995,measurement of the spin of the 1530 resonance,2008.0,2614624492.0,10.1103/PhysRevD.78.034008,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,27.0
10057,"perl, ml",1995,search ford0 d 0mixing,2000.0,2768652009.0,10.1103/PhysRevLett.84.5038,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,89.0
10057,"perl, ml",1995,measurement of b x decays and determination of vtd vts,2009.0,1622833298.0,10.1103/PhysRevLett.102.161803,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,2.0
